year,number,date,month,state
"2016",1433,2016-01-01,"August","Minas Gerais"
"2017",2142,2017-01-01,"August","Minas Gerais"
"1998",1981,1998-01-01,"September","Minas Gerais"
"1999",2686,1999-01-01,"September","Minas Gerais"
"2000",1080,2000-01-01,"September","Minas Gerais"
"2001",1597,2001-01-01,"September","Minas Gerais"
"2002",3100,2002-01-01,"September","Minas Gerais"
"2003",7091,2003-01-01,"September","Minas Gerais"
"2004",4339,2004-01-01,"September","Minas Gerais"
"2005",2047,2005-01-01,"September","Minas Gerais"
"2006",2780,2006-01-01,"September","Minas Gerais"
"2007",5088,2007-01-01,"September","Minas Gerais"
"2008",2552,2008-01-01,"September","Minas Gerais"
"2009",1310,2009-01-01,"September","Minas Gerais"
"2010",5059,2010-01-01,"September","Minas Gerais"
"2011",5978,2011-01-01,"September","Minas Gerais"
"2012",3219,2012-01-01,"September","Minas Gerais"
"2013",1656,2013-01-01,"September","Minas Gerais"
"2014",3454,2014-01-01,"September","Minas Gerais"
"2015",3088,2015-01-01,"September","Minas Gerais"
"2016",2093,2016-01-01,"September","Minas Gerais"
"2017",4697,2017-01-01,"September","Minas Gerais"
"1998",1093,1998-01-01,"October","Minas Gerais"
"1999",1363,1999-01-01,"October","Minas Gerais"
"2000",1954,2000-01-01,"October","Minas Gerais"
"2001",528,2001-01-01,"October","Minas Gerais"
"2002",4788,2002-01-01,"October","Minas Gerais"
"2003",5391,2003-01-01,"October","Minas Gerais"
"2004",2736,2004-01-01,"October","Minas Gerais"
"2005",6546,2005-01-01,"October","Minas Gerais"
"2006",616,2006-01-01,"October","Minas Gerais"
"2007",3467,2007-01-01,"October","Minas Gerais"
"2008",3787,2008-01-01,"October","Minas Gerais"
"2009",1013,2009-01-01,"October","Minas Gerais"
"2010",2048,2010-01-01,"October","Minas Gerais"
"2011",1206,2011-01-01,"October","Minas Gerais"
"2012",3970,2012-01-01,"October","Minas Gerais"
"2013",1221,2013-01-01,"October","Minas Gerais"
"2014",4735,2014-01-01,"October","Minas Gerais"
"2015",3708,2015-01-01,"October","Minas Gerais"
"2016",948,2016-01-01,"October","Minas Gerais"
"2017",3062,2017-01-01,"October","Minas Gerais"
"1998",32,1998-01-01,"November","Minas Gerais"
"1999",271,1999-01-01,"November","Minas Gerais"
"2000",43,2000-01-01,"November","Minas Gerais"
"2001",62,2001-01-01,"November","Minas Gerais"
"2002",417,2002-01-01,"November","Minas Gerais"
"2003",399,2003-01-01,"November","Minas Gerais"
"2004",914,2004-01-01,"November","Minas Gerais"
"2005",422,2005-01-01,"November","Minas Gerais"
"2006",59,2006-01-01,"November","Minas Gerais"
"2007",1305,2007-01-01,"November","Minas Gerais"
"2008",892,2008-01-01,"November","Minas Gerais"
"2009",246,2009-01-01,"November","Minas Gerais"
"2010",82,2010-01-01,"November","Minas Gerais"
"2011",153,2011-01-01,"November","Minas Gerais"
"2012",220,2012-01-01,"November","Minas Gerais"
"2013",277,2013-01-01,"November","Minas Gerais"
"2014",398,2014-01-01,"November","Minas Gerais"
"2015",1453,2015-01-01,"November","Minas Gerais"
"2016",126,2016-01-01,"November","Minas Gerais"
"2017",136,2017-01-01,"November","Minas Gerais"
"1998",21,1998-01-01,"December","Minas Gerais"
"1999",32,1999-01-01,"December","Minas Gerais"
"2000",14,2000-01-01,"December","Minas Gerais"
"2001",44,2001-01-01,"December","Minas Gerais"
"2002",225,2002-01-01,"December","Minas Gerais"
"2003",225,2003-01-01,"December","Minas Gerais"
"2004",125,2004-01-01,"December","Minas Gerais"
"2005",65,2005-01-01,"December","Minas Gerais"
"2006",32,2006-01-01,"December","Minas Gerais"
"2007",95,2007-01-01,"December","Minas Gerais"
"2008",25,2008-01-01,"December","Minas Gerais"
"2009",108,2009-01-01,"December","Minas Gerais"
"2010",105,2010-01-01,"December","Minas Gerais"
"2011",43,2011-01-01,"December","Minas Gerais"
"2012",189,2012-01-01,"December","Minas Gerais"
"2013",98,2013-01-01,"December","Minas Gerais"
"2014",155,2014-01-01,"December","Minas Gerais"
"2015",295,2015-01-01,"December","Minas Gerais"
"2016",91,2016-01-01,"December","Minas Gerais"
"1998",0,1998-01-01,"January","Para"
"1999",87,1999-01-01,"January","Para"
"2000",30,2000-01-01,"January","Para"
"2001",34,2001-01-01,"January","Para"
"2002",144,2002-01-01,"January","Para"
"2003",900,2003-01-01,"January","Para"
"2004",579,2004-01-01,"January","Para"
"2005",1768,2005-01-01,"January","Para"
"2006",403,2006-01-01,"January","Para"
"2007",467,2007-01-01,"January","Para"
"2008",131,2008-01-01,"January","Para"
"2009",241,2009-01-01,"January","Para"
"2010",437,2010-01-01,"January","Para"
"2011",108,2011-01-01,"January","Para"
"2012",392,2012-01-01,"January","Para"
"2013",167,2013-01-01,"January","Para"
"2014",251,2014-01-01,"January","Para"
"2015",725,2015-01-01,"January","Para"
"2016",1322,2016-01-01,"January","Para"
"2017",219,2017-01-01,"January","Para"
"1998",0,1998-01-01,"February","Para"
"1999",285,1999-01-01,"February","Para"
"2000",29,2000-01-01,"February","Para"
"2001",16,2001-01-01,"February","Para"
"2002",120,2002-01-01,"February","Para"
"2003",34,2003-01-01,"February","Para"
"2004",20,2004-01-01,"February","Para"
"2005",85,2005-01-01,"February","Para"
"2006",49,2006-01-01,"February","Para"
"2007",23,2007-01-01,"February","Para"
"2008",54,2008-01-01,"February","Para"
"2009",15,2009-01-01,"February","Para"
"2010",102,2010-01-01,"February","Para"
"2011",13,2011-01-01,"February","Para"
"2012",63,2012-01-01,"February","Para"
"2013",30,2013-01-01,"February","Para"
"2014",37,2014-01-01,"February","Para"
"2015",108,2015-01-01,"February","Para"
"2016",430,2016-01-01,"February","Para"
"2017",14,2017-01-01,"February","Para"
"1998",0,1998-01-01,"March","Para"
"1999",7,1999-01-01,"March","Para"
"2000",181,2000-01-01,"March","Para"
"2001",0,2001-01-01,"March","Para"
"2002",14,2002-01-01,"March","Para"
"2003",27,2003-01-01,"March","Para"
"2004",22,2004-01-01,"March","Para"
"2005",21,2005-01-01,"March","Para"
"2006",10,2006-01-01,"March","Para"
"2007",6,2007-01-01,"March","Para"
"2008",4,2008-01-01,"March","Para"
"2009",4,2009-01-01,"March","Para"
"2010",110,2010-01-01,"March","Para"
"2011",21,2011-01-01,"March","Para"
"2012",30,2012-01-01,"March","Para"
"2013",19,2013-01-01,"March","Para"
"2014",34,2014-01-01,"March","Para"
"2015",61,2015-01-01,"March","Para"
"2016",81,2016-01-01,"March","Para"
"2017",42,2017-01-01,"March","Para"
"1998",0,1998-01-01,"April","Para"
"1999",6,1999-01-01,"April","Para"
"2000",40,2000-01-01,"April","Para"
"2001",0,2001-01-01,"April","Para"
"2002",11,2002-01-01,"April","Para"
"2003",14,2003-01-01,"April","Para"
"2004",23,2004-01-01,"April","Para"
"2005",14,2005-01-01,"April","Para"
"2006",2,2006-01-01,"April","Para"
"2007",0,2007-01-01,"April","Para"
"2008",7,2008-01-01,"April","Para"
"2009",8,2009-01-01,"April","Para"
"2010",22,2010-01-01,"April","Para"
"2011",10,2011-01-01,"April","Para"
"2012",11,2012-01-01,"April","Para"
"2013",20,2013-01-01,"April","Para"
"2014",27,2014-01-01,"April","Para"
"2015",27,2015-01-01,"April","Para"
"2016",66,2016-01-01,"April","Para"
"2017",45,2017-01-01,"April","Para"
"1998",0,1998-01-01,"May","Para"
"1999",4,1999-01-01,"May","Para"
"2000",12,2000-01-01,"May","Para"
"2001",7,2001-01-01,"May","Para"
"2002",18,2002-01-01,"May","Para"
"2003",3,2003-01-01,"May","Para"
"2004",44,2004-01-01,"May","Para"
"2005",37,2005-01-01,"May","Para"
"2006",0,2006-01-01,"May","Para"
"2007",9,2007-01-01,"May","Para"
"2008",0,2008-01-01,"May","Para"
"2009",7,2009-01-01,"May","Para"
"2010",57,2010-01-01,"May","Para"
"2011",16,2011-01-01,"May","Para"
"2012",59,2012-01-01,"May","Para"
"2013",42,2013-01-01,"May","Para"
"2014",70,2014-01-01,"May","Para"
"2015",95,2015-01-01,"May","Para"
"2016",154,2016-01-01,"May","Para"
"2017",114,2017-01-01,"May","Para"
"1998",58,1998-01-01,"June","Para"
"1999",37,1999-01-01,"June","Para"
"2000",59,2000-01-01,"June","Para"
"2001",42,2001-01-01,"June","Para"
"2002",149,2002-01-01,"June","Para"
"2003",64,2003-01-01,"June","Para"
"2004",340,2004-01-01,"June","Para"
"2005",304,2005-01-01,"June","Para"
"2006",78,2006-01-01,"June","Para"
"2007",129,2007-01-01,"June","Para"
"2008",48,2008-01-01,"June","Para"
"2009",38,2009-01-01,"June","Para"
"2010",94,2010-01-01,"June","Para"
"2011",105,2011-01-01,"June","Para"
"2012",183,2012-01-01,"June","Para"
"2013",173,2013-01-01,"June","Para"
"2014",319,2014-01-01,"June","Para"
"2015",265,2015-01-01,"June","Para"
"2016",502,2016-01-01,"June","Para"
"2017",679,2017-01-01,"June","Para"
"1998",638,1998-01-01,"July","Para"
"1999",982,1999-01-01,"July","Para"
"2000",426,2000-01-01,"July","Para"
"2001",708,2001-01-01,"July","Para"
"2002",772,2002-01-01,"July","Para"
"2003",1571,2003-01-01,"July","Para"
"2004",4436,2004-01-01,"July","Para"
"2005",4364,2005-01-01,"July","Para"
"2006",615,2006-01-01,"July","Para"
"2007",476,2007-01-01,"July","Para"
"2008",971,2008-01-01,"July","Para"
"2009",397,2009-01-01,"July","Para"
"2010",1432,2010-01-01,"July","Para"
"2011",632,2011-01-01,"July","Para"
"2012",661,2012-01-01,"July","Para"
"2013",447,2013-01-01,"July","Para"
"2014",825,2014-01-01,"July","Para"
"2015",906,2015-01-01,"July","Para"
"2016",1579,2016-01-01,"July","Para"
"2017",4985,2017-01-01,"July","Para"
"1998",6815,1998-01-01,"August","Para"
"1999",6178,1999-01-01,"August","Para"
"2000",5484,2000-01-01,"August","Para"
"2001",9043,2001-01-01,"August","Para"
"2002",15664,2002-01-01,"August","Para"
"2003",6255,2003-01-01,"August","Para"
"2004",12812,2004-01-01,"August","Para"
"2005",13055,2005-01-01,"August","Para"
"2006",7575,2006-01-01,"August","Para"
"2007",14352,2007-01-01,"August","Para"
"2008",4435,2008-01-01,"August","Para"
"2009",3859,2009-01-01,"August","Para"
"2010",1813,2010-01-01,"August","Para"
"2011",2195,2011-01-01,"August","Para"
"2012",6964,2012-01-01,"August","Para"
"2013",2161,2013-01-01,"August","Para"
"2014",8555,2014-01-01,"August","Para"
"2015",7913,2015-01-01,"August","Para"
"2016",4863,2016-01-01,"August","Para"
"2017",11962,2017-01-01,"August","Para"
"1998",6237,1998-01-01,"September","Para"
"1999",4419,1999-01-01,"September","Para"
"2000",2569,2000-01-01,"September","Para"
"2001",6139,2001-01-01,"September","Para"
"2002",5609,2002-01-01,"September","Para"
"2003",8447,2003-01-01,"September","Para"
"2004",9471,2004-01-01,"September","Para"
"2005",9032,2005-01-01,"September","Para"
"2006",8372,2006-01-01,"September","Para"
"2007",1459,2007-01-01,"September","Para"
"2008",6294,2008-01-01,"September","Para"
"2009",6051,2009-01-01,"September","Para"
"2010",1081,2010-01-01,"September","Para"
"2011",5185,2011-01-01,"September","Para"
"2012",6870,2012-01-01,"September","Para"
"2013",3360,2013-01-01,"September","Para"
"2014",6787,2014-01-01,"September","Para"
"2015",11068,2015-01-01,"September","Para"
"2016",3953,2016-01-01,"September","Para"
"2017",25004,2017-01-01,"September","Para"
"1998",3665,1998-01-01,"October","Para"
"1999",5026,1999-01-01,"October","Para"
"2000",4313,2000-01-01,"October","Para"
"2001",5096,2001-01-01,"October","Para"
"2002",5189,2002-01-01,"October","Para"
"2003",3803,2003-01-01,"October","Para"
"2004",4726,2004-01-01,"October","Para"
"2005",5083,2005-01-01,"October","Para"
"2006",5964,2006-01-01,"October","Para"
"2007",2504,2007-01-01,"October","Para"
"2008",6653,2008-01-01,"October","Para"
"2009",6342,2009-01-01,"October","Para"
"2010",3843,2010-01-01,"October","Para"
"2011",3141,2011-01-01,"October","Para"
"2012",3714,2012-01-01,"October","Para"
"2013",4921,2013-01-01,"October","Para"
"2014",6448,2014-01-01,"October","Para"
"2015",7781,2015-01-01,"October","Para"
"2016",5281,2016-01-01,"October","Para"
"2017",7628,2017-01-01,"October","Para"
"1998",1861,1998-01-01,"November","Para"
"1999",2682,1999-01-01,"November","Para"
"2000",3366,2000-01-01,"November","Para"
"2001",4938,2001-01-01,"November","Para"
"2002",7996,2002-01-01,"November","Para"
"2003",6195,2003-01-01,"November","Para"
"2004",9842,2004-01-01,"November","Para"
"2005",4968,2005-01-01,"November","Para"
"2006",2883,2006-01-01,"November","Para"
"2007",2890,2007-01-01,"November","Para"
"2008",2403,2008-01-01,"November","Para"
"2009",10012,2009-01-01,"November","Para"
"2010",4417,2010-01-01,"November","Para"
"2011",3043,2011-01-01,"November","Para"
"2012",6156,2012-01-01,"November","Para"
"2013",3688,2013-01-01,"November","Para"
"2014",7767,2014-01-01,"November","Para"
"2015",9643,2015-01-01,"November","Para"
"2016",7879,2016-01-01,"November","Para"
"2017",9079,2017-01-01,"November","Para"
"1998",1008,1998-01-01,"December","Para"
"1999",766,1999-01-01,"December","Para"
"2000",1698,2000-01-01,"December","Para"
"2001",2564,2001-01-01,"December","Para"
"2002",3118,2002-01-01,"December","Para"
"2003",4787,2003-01-01,"December","Para"
"2004",5508,2004-01-01,"December","Para"
"2005",1495,2005-01-01,"December","Para"
"2006",1417,2006-01-01,"December","Para"
"2007",689,2007-01-01,"December","Para"
"2008",684,2008-01-01,"December","Para"
"2009",2832,2009-01-01,"December","Para"
"2010",1612,2010-01-01,"December","Para"
"2011",3218,2011-01-01,"December","Para"
"2012",1812,2012-01-01,"December","Para"
"2013",5514,2013-01-01,"December","Para"
"2014",4828,2014-01-01,"December","Para"
"2015",6610,2015-01-01,"December","Para"
"2016",3300,2016-01-01,"December","Para"
"1998",0,1998-01-01,"January","Paraiba"
"1999",26,1999-01-01,"January","Paraiba"
"2000",0,2000-01-01,"January","Paraiba"
"2001",11,2001-01-01,"January","Paraiba"
"2002",5,2002-01-01,"January","Paraiba"
"2003",70,2003-01-01,"January","Paraiba"
"2004",33,2004-01-01,"January","Paraiba"
"2005",178,2005-01-01,"January","Paraiba"
"2006",83,2006-01-01,"January","Paraiba"
"2007",69,2007-01-01,"January","Paraiba"
"2008",77,2008-01-01,"January","Paraiba"
"2009",115,2009-01-01,"January","Paraiba"
"2010",46,2010-01-01,"January","Paraiba"
"2011",11,2011-01-01,"January","Paraiba"
"2012",61,2012-01-01,"January","Paraiba"
"2013",38,2013-01-01,"January","Paraiba"
"2014",75,2014-01-01,"January","Paraiba"
"2015",42,2015-01-01,"January","Paraiba"
"2016",18,2016-01-01,"January","Paraiba"
"2017",23,2017-01-01,"January","Paraiba"
"1998",0,1998-01-01,"February","Paraiba"
"1999",2,1999-01-01,"February","Paraiba"
"2000",11,2000-01-01,"February","Paraiba"
"2001",6,2001-01-01,"February","Paraiba"
"2002",18,2002-01-01,"February","Paraiba"
"2003",3,2003-01-01,"February","Paraiba"
"2004",3,2004-01-01,"February","Paraiba"
"2005",15,2005-01-01,"February","Paraiba"
"2006",7,2006-01-01,"February","Paraiba"
"2007",7,2007-01-01,"February","Paraiba"
"2008",20,2008-01-01,"February","Paraiba"
"2009",9,2009-01-01,"February","Paraiba"
"2010",15,2010-01-01,"February","Paraiba"
"2011",5,2011-01-01,"February","Paraiba"
"2012",15,2012-01-01,"February","Paraiba"
"2013",9,2013-01-01,"February","Paraiba"
"2014",6,2014-01-01,"February","Paraiba"
"2015",15,2015-01-01,"February","Paraiba"
"2016",4,2016-01-01,"February","Paraiba"
"2017",8,2017-01-01,"February","Paraiba"
"1998",0,1998-01-01,"March","Paraiba"
"1999",1,1999-01-01,"March","Paraiba"
"2000",5,2000-01-01,"March","Paraiba"
"2001",0,2001-01-01,"March","Paraiba"
"2002",3,2002-01-01,"March","Paraiba"
"2003",0,2003-01-01,"March","Paraiba"
"2004",3,2004-01-01,"March","Paraiba"
"2005",13,2005-01-01,"March","Paraiba"
"2006",4,2006-01-01,"March","Paraiba"
"2007",1,2007-01-01,"March","Paraiba"
"2008",8,2008-01-01,"March","Paraiba"
"2009",2,2009-01-01,"March","Paraiba"
"2010",16,2010-01-01,"March","Paraiba"
"2011",6,2011-01-01,"March","Paraiba"
"2012",4,2012-01-01,"March","Paraiba"
"2013",3,2013-01-01,"March","Paraiba"
"2014",18,2014-01-01,"March","Paraiba"
"2015",7,2015-01-01,"March","Paraiba"
"2016",1,2016-01-01,"March","Paraiba"
"2017",2,2017-01-01,"March","Paraiba"
"1998",0,1998-01-01,"April","Paraiba"
"1999",3,1999-01-01,"April","Paraiba"
"2000",1,2000-01-01,"April","Paraiba"
"2001",0,2001-01-01,"April","Paraiba"
"2002",1,2002-01-01,"April","Paraiba"
"2003",0,2003-01-01,"April","Paraiba"
"2004",3,2004-01-01,"April","Paraiba"
"2005",2,2005-01-01,"April","Paraiba"
"2006",0,2006-01-01,"April","Paraiba"
"2007",0,2007-01-01,"April","Paraiba"
"2008",0,2008-01-01,"April","Paraiba"
"2009",1,2009-01-01,"April","Paraiba"
"2010",2,2010-01-01,"April","Paraiba"
"2011",2,2011-01-01,"April","Paraiba"
"2012",13,2012-01-01,"April","Paraiba"
"2013",6,2013-01-01,"April","Paraiba"
"2014",8,2014-01-01,"April","Paraiba"
"2015",11,2015-01-01,"April","Paraiba"
"2016",1,2016-01-01,"April","Paraiba"
"2017",1,2017-01-01,"April","Paraiba"
"1998",0,1998-01-01,"May","Paraiba"
"1999",0,1999-01-01,"May","Paraiba"
"2000",0,2000-01-01,"May","Paraiba"
"2001",4,2001-01-01,"May","Paraiba"
"2002",1,2002-01-01,"May","Paraiba"
"2003",0,2003-01-01,"May","Paraiba"
"2004",1,2004-01-01,"May","Paraiba"
"2005",0,2005-01-01,"May","Paraiba"
"2006",0,2006-01-01,"May","Paraiba"
"2007",0,2007-01-01,"May","Paraiba"
"2008",0,2008-01-01,"May","Paraiba"
"2009",0,2009-01-01,"May","Paraiba"
"2010",10,2010-01-01,"May","Paraiba"
"2011",0,2011-01-01,"May","Paraiba"
"2012",10,2012-01-01,"May","Paraiba"
"2013",3,2013-01-01,"May","Paraiba"
"2014",1,2014-01-01,"May","Paraiba"
"2015",6,2015-01-01,"May","Paraiba"
"2016",1,2016-01-01,"May","Paraiba"
"2017",1,2017-01-01,"May","Paraiba"
"1998",3,1998-01-01,"June","Paraiba"
"1999",1,1999-01-01,"June","Paraiba"
"2000",2,2000-01-01,"June","Paraiba"
"2001",0,2001-01-01,"June","Paraiba"
"2002",1,2002-01-01,"June","Paraiba"
"2003",0,2003-01-01,"June","Paraiba"
"2004",0,2004-01-01,"June","Paraiba"
"2005",0,2005-01-01,"June","Paraiba"
"2006",0,2006-01-01,"June","Paraiba"
"2007",0,2007-01-01,"June","Paraiba"
"2008",0,2008-01-01,"June","Paraiba"
"2009",0,2009-01-01,"June","Paraiba"
"2010",3,2010-01-01,"June","Paraiba"
"2011",2,2011-01-01,"June","Paraiba"
"2012",5,2012-01-01,"June","Paraiba"
"2013",3,2013-01-01,"June","Paraiba"
"2014",1,2014-01-01,"June","Paraiba"
"2015",0,2015-01-01,"June","Paraiba"
"2016",4,2016-01-01,"June","Paraiba"
"2017",0,2017-01-01,"June","Paraiba"
"1998",0,1998-01-01,"July","Paraiba"
"1999",1,1999-01-01,"July","Paraiba"
"2000",0,2000-01-01,"July","Paraiba"
"2001",8,2001-01-01,"July","Paraiba"
"2002",8,2002-01-01,"July","Paraiba"
"2003",6,2003-01-01,"July","Paraiba"
"2004",1,2004-01-01,"July","Paraiba"
"2005",0,2005-01-01,"July","Paraiba"
"2006",1,2006-01-01,"July","Paraiba"
"2007",1,2007-01-01,"July","Paraiba"
"2008",0,2008-01-01,"July","Paraiba"
"2009",3,2009-01-01,"July","Paraiba"
"2010",7,2010-01-01,"July","Paraiba"
"2011",6,2011-01-01,"July","Paraiba"
"2012",5,2012-01-01,"July","Paraiba"
"2013",1,2013-01-01,"July","Paraiba"
"2014",9,2014-01-01,"July","Paraiba"
"2015",3,2015-01-01,"July","Paraiba"
"2016",22,2016-01-01,"July","Paraiba"
"2017",2,2017-01-01,"July","Paraiba"
"1998",3,1998-01-01,"August","Paraiba"
"1999",4,1999-01-01,"August","Paraiba"
"2000",7,2000-01-01,"August","Paraiba"
"2001",34,2001-01-01,"August","Paraiba"
"2002",38,2002-01-01,"August","Paraiba"
"2003",14,2003-01-01,"August","Paraiba"
"2004",18,2004-01-01,"August","Paraiba"
"2005",0,2005-01-01,"August","Paraiba"
"2006",3,2006-01-01,"August","Paraiba"
"2007",8,2007-01-01,"August","Paraiba"
"2008",1,2008-01-01,"August","Paraiba"
"2009",4,2009-01-01,"August","Paraiba"
"2010",9,2010-01-01,"August","Paraiba"
"2011",12,2011-01-01,"August","Paraiba"
"2012",13,2012-01-01,"August","Paraiba"
"2013",3,2013-01-01,"August","Paraiba"
"2014",30,2014-01-01,"August","Paraiba"
"2015",5,2015-01-01,"August","Paraiba"
"2016",50,2016-01-01,"August","Paraiba"
"2017",3,2017-01-01,"August","Paraiba"
"1998",50,1998-01-01,"September","Paraiba"
"1999",14,1999-01-01,"September","Paraiba"
"2000",9,2000-01-01,"September","Paraiba"
"2001",98,2001-01-01,"September","Paraiba"
"2002",63,2002-01-01,"September","Paraiba"
"2003",81,2003-01-01,"September","Paraiba"
"2004",34,2004-01-01,"September","Paraiba"
"2005",13,2005-01-01,"September","Paraiba"
"2006",27,2006-01-01,"September","Paraiba"
"2007",22,2007-01-01,"September","Paraiba"
"2008",21,2008-01-01,"September","Paraiba"
"2009",28,2009-01-01,"September","Paraiba"
"2010",37,2010-01-01,"September","Paraiba"
"2011",55,2011-01-01,"September","Paraiba"
"2012",71,2012-01-01,"September","Paraiba"
"2013",25,2013-01-01,"September","Paraiba"
"2014",51,2014-01-01,"September","Paraiba"
"2015",48,2015-01-01,"September","Paraiba"
"2016",131,2016-01-01,"September","Paraiba"
"2017",30,2017-01-01,"September","Paraiba"
"1998",179,1998-01-01,"October","Paraiba"
"1999",48,1999-01-01,"October","Paraiba"
"2000",125,2000-01-01,"October","Paraiba"
"2001",279,2001-01-01,"October","Paraiba"
"2002",193,2002-01-01,"October","Paraiba"
"2003",381,2003-01-01,"October","Paraiba"
"2004",190,2004-01-01,"October","Paraiba"
"2005",155,2005-01-01,"October","Paraiba"
"2006",135,2006-01-01,"October","Paraiba"
"2007",111,2007-01-01,"October","Paraiba"
"2008",80,2008-01-01,"October","Paraiba"
"2009",117,2009-01-01,"October","Paraiba"
"2010",150,2010-01-01,"October","Paraiba"
"2011",200,2011-01-01,"October","Paraiba"
"2012",136,2012-01-01,"October","Paraiba"
"2013",58,2013-01-01,"October","Paraiba"
"2014",70,2014-01-01,"October","Paraiba"
"2015",121,2015-01-01,"October","Paraiba"
"2016",304,2016-01-01,"October","Paraiba"
"2017",123,2017-01-01,"October","Paraiba"
"1998",46,1998-01-01,"November","Paraiba"
"1999",38,1999-01-01,"November","Paraiba"
"2000",65,2000-01-01,"November","Paraiba"
"2001",294,2001-01-01,"November","Paraiba"
"2002",238,2002-01-01,"November","Paraiba"
"2003",538,2003-01-01,"November","Paraiba"
"2004",331,2004-01-01,"November","Paraiba"
"2005",280,2005-01-01,"November","Paraiba"
"2006",215,2006-01-01,"November","Paraiba"
"2007",256,2007-01-01,"November","Paraiba"
"2008",175,2008-01-01,"November","Paraiba"
"2009",428,2009-01-01,"November","Paraiba"
"2010",451,2010-01-01,"November","Paraiba"
"2011",359,2011-01-01,"November","Paraiba"
"2012",130,2012-01-01,"November","Paraiba"
"2013",95,2013-01-01,"November","Paraiba"
"2014",111,2014-01-01,"November","Paraiba"
"2015",206,2015-01-01,"November","Paraiba"
"2016",132,2016-01-01,"November","Paraiba"
"2017",101,2017-01-01,"November","Paraiba"
"1998",51,1998-01-01,"December","Paraiba"
"1999",40,1999-01-01,"December","Paraiba"
"2000",34,2000-01-01,"December","Paraiba"
"2001",70,2001-01-01,"December","Paraiba"
"2002",163,2002-01-01,"December","Paraiba"
"2003",288,2003-01-01,"December","Paraiba"
"2004",351,2004-01-01,"December","Paraiba"
"2005",159,2005-01-01,"December","Paraiba"
"2006",196,2006-01-01,"December","Paraiba"
"2007",133,2007-01-01,"December","Paraiba"
"2008",187,2008-01-01,"December","Paraiba"
"2009",270,2009-01-01,"December","Paraiba"
"2010",65,2010-01-01,"December","Paraiba"
"2011",179,2011-01-01,"December","Paraiba"
"2012",62,2012-01-01,"December","Paraiba"
"2013",78,2013-01-01,"December","Paraiba"
"2014",62,2014-01-01,"December","Paraiba"
"2015",122,2015-01-01,"December","Paraiba"
"2016",8,2016-01-01,"December","Paraiba"
"1998",0,1998-01-01,"January","Paraiba"
"1999",7,1999-01-01,"January","Paraiba"
"2000",49,2000-01-01,"January","Paraiba"
"2001",32,2001-01-01,"January","Paraiba"
"2002",47,2002-01-01,"January","Paraiba"
"2003",109,2003-01-01,"January","Paraiba"
"2004",88,2004-01-01,"January","Paraiba"
"2005",55,2005-01-01,"January","Paraiba"
"2006",78,2006-01-01,"January","Paraiba"
"2007",11,2007-01-01,"January","Paraiba"
"2008",35,2008-01-01,"January","Paraiba"
"2009",35,2009-01-01,"January","Paraiba"
"2010",18,2010-01-01,"January","Paraiba"
"2011",35,2011-01-01,"January","Paraiba"
"2012",31,2012-01-01,"January","Paraiba"
"2013",28,2013-01-01,"January","Paraiba"
"2014",86,2014-01-01,"January","Paraiba"
"2015",120,2015-01-01,"January","Paraiba"
"2016",113,2016-01-01,"January","Paraiba"
"2017",55,2017-01-01,"January","Paraiba"
"1998",0,1998-01-01,"February","Paraiba"
"1999",22,1999-01-01,"February","Paraiba"
"2000",67,2000-01-01,"February","Paraiba"
"2001",8,2001-01-01,"February","Paraiba"
"2002",24,2002-01-01,"February","Paraiba"
"2003",46,2003-01-01,"February","Paraiba"
"2004",42,2004-01-01,"February","Paraiba"
"2005",77,2005-01-01,"February","Paraiba"
"2006",60,2006-01-01,"February","Paraiba"
"2007",32,2007-01-01,"February","Paraiba"
"2008",38,2008-01-01,"February","Paraiba"
"2009",21,2009-01-01,"February","Paraiba"
"2010",46,2010-01-01,"February","Paraiba"
"2011",8,2011-01-01,"February","Paraiba"
"2012",40,2012-01-01,"February","Paraiba"
"2013",9,2013-01-01,"February","Paraiba"
"2014",52,2014-01-01,"February","Paraiba"
"2015",58,2015-01-01,"February","Paraiba"
"2016",31,2016-01-01,"February","Paraiba"
"2017",60,2017-01-01,"February","Paraiba"
"1998",0,1998-01-01,"March","Paraiba"
"1999",40,1999-01-01,"March","Paraiba"
"2000",52,2000-01-01,"March","Paraiba"
"2001",12,2001-01-01,"March","Paraiba"
"2002",18,2002-01-01,"March","Paraiba"
"2003",76,2003-01-01,"March","Paraiba"
"2004",83,2004-01-01,"March","Paraiba"
"2005",84,2005-01-01,"March","Paraiba"
"2006",56,2006-01-01,"March","Paraiba"
"2007",54,2007-01-01,"March","Paraiba"
"2008",43,2008-01-01,"March","Paraiba"
"2009",57,2009-01-01,"March","Paraiba"
"2010",22,2010-01-01,"March","Paraiba"
"2011",21,2011-01-01,"March","Paraiba"
"2012",55,2012-01-01,"March","Paraiba"
"2013",18,2013-01-01,"March","Paraiba"
"2014",42,2014-01-01,"March","Paraiba"
"2015",55,2015-01-01,"March","Paraiba"
"2016",63,2016-01-01,"March","Paraiba"
"2017",43,2017-01-01,"March","Paraiba"
"1998",0,1998-01-01,"April","Paraiba"
"1999",39,1999-01-01,"April","Paraiba"
"2000",51,2000-01-01,"April","Paraiba"
"2001",43,2001-01-01,"April","Paraiba"
"2002",84,2002-01-01,"April","Paraiba"
"2003",130,2003-01-01,"April","Paraiba"
"2004",68,2004-01-01,"April","Paraiba"
